Date,Close,Volume,SMA_10,EMA_10,nav
03-09-2023,19613.9545,285927.2727,299.6696563,298.6981691,295.4745375
04-09-2023,19528.80078,296800,300.61327,299.6453502,297.36
05-09-2023,19574.90039,256800,301.16921,300.1532058,298.2574
06-09-2023,19611.05078,287600,301.45748,300.574496,298.6484
07-09-2023,19727.05078,304900,301.43613,301.0025173,299.9871
08-09-2023,19819.94922,288100,301.24306,301.2281656,301.5036
09-09-2023,19622.01675,287359.375,301.0028188,300.6997205,299.8331
10-09-2023,19616.5486,287048.4848,300.9960513,300.8923028,300.59385
11-09-2023,19996.34961,248800,300.9775,301.166958,303.4884
12-09-2023,19993.19922,328100,300.49354,300.651082,298.289
13-09-2023,20070,251400,300.63236,301.1759891,301.1309
14-09-2023,20103.09961,275100,300.55913,301.1860089,303.446
15-09-2023,20192.34961,438200,300.2449,300.6837887,304.0219
16-09-2023,19642.06181,278261.7647,300.2197357,300.5837359,302.0622429
17-09-2023,19654.26476,278408.8235,299.9190443,300.2551788,301.3403143
18-09-2023,20133.30078,264900,299.57139,299.9419861,302.9194
19-09-2023,19675.2751,277802.9412,299.4939283,299.820379,301.33645
20-09-2023,19901.40039,378100,299.05933,299.2803386,301.1401
21-09-2023,19742.34961,275100,298.87266,298.8670583,298.4349
22-09-2023,19674.25,246400,298.65616,298.9630935,298.0564
23-09-2023,19703.84565,267570.5882,299.0613414,299.2595962,299.6749714
24-09-2023,19713.50592,264379.4118,298.9763333,299.1458646,299.1342333
25-09-2023,19674.55078,188400,298.79671,299.1645809,298.848
26-09-2023,19664.69922,204900,299.06999,299.2349322,298.6488
27-09-2023,19716.44922,203600,299.40315,299.3651839,299.6772
28-09-2023,19523.55078,352800,299.210065,299.265136,299.39315
29-09-2023,19638.30078,243500,299.57041,299.2958469,300.3986
30-09-2023,19731.60452,247518.1818,299.466065,299.1472835,299.19385
01-10-2023,19717.88482,246563.6364,299.7709817,299.1369354,299.0189833
02-10-2023,19695.04238,246951.5152,300.086555,299.163147,299.1230833
03-10-2023,19528.75,221700,299.80143,299.0507907,300.3037
04-10-2023,19436.09961,277100,300.1547,298.7723664,297.2868
05-10-2023,19545.75,234900,300.62621,299.1024923,297.7988
06-10-2023,19653.5,159100,300.96343,299.3922017,299.2734
07-10-2023,19626.08481,239360.6061,300.4043029,299.4455643,298.8536143
08-10-2023,19595.65909,235300,300.178145,299.511319,299.2444625
09-10-2023,19512.34961,165100,300.91911,299.418602,296.2699
10-10-2023,19689.84961,216600,300.58011,300.1183136,299.4619
11-10-2023,19811.34961,213700,299.78513,300.2641833,301.5808
12-10-2023,19794,217900,298.59504,299.9716018,301.9804
13-10-2023,19751.05078,255000,297.63538,299.5252022,301.3498
14-10-2023,19495.16057,222721.2121,298.0379775,299.2295733,301.1487375
15-10-2023,19493.64114,221905.8824,297.12306,298.8030923,301.761375
16-10-2023,19731.75,181000,296.72478,299.119736,302.7088
17-10-2023,19811.5,185800,295.66082,298.3221663,303.8364
18-10-2023,19671.09961,198900,294.40345,297.096781,302.0019
19-10-2023,19624.69922,230300,293.59977,296.0067545,301.171
20-10-2023,19542.65039,198300,293.11733,294.8591444,298.8302
21-10-2023,19456.22573,212324.2424,294.3573743,296.2288126,298.9914714
22-10-2023,19456.55149,214948.4848,294.0886471,295.6148884,297.1302
23-10-2023,19281.75,176000,293.1239,293.9766876,292.8799
24-10-2023,19464.33937,213830.303,294.083055,294.9750477,294.4094833
25-10-2023,19122.15039,225300,293.87157,294.2204182,291.5121
26-10-2023,18857.25,300400,294.84369,294.8222667,289.6799
27-10-2023,19047.25,205200,295.94207,295.9650149,292.3838
28-10-2023,19475.36173,211226.4706,295.9995443,296.0771618,291.7187714
29-10-2023,19483.68819,210132.3529,297.1387486,297.045693,291.8738
30-10-2023,19140.90039,180100,296.84992,296.7608404,292.2438
31-10-2023,19079.59961,206000,297.9549,297.7646272,292.0692
01-11-2023,18989.15039,194100,299.41076,299.0302777,291.2627
02-11-2023,19133.25,245600,301.09833,300.756406,293.9651
03-11-2023,19230.59961,189500,302.53465,302.2655852,296.3466
04-11-2023,19508.60902,207690.9091,301.4878938,301.293823,295.79665
05-11-2023,19520.93478,208284.8485,302.6820913,302.5154171,296.8491375
06-11-2023,19411.75,180700,303.70134,303.5809152,298.8959
07-11-2023,19406.69922,198700,304.73955,304.6220297,300.3566
08-11-2023,19443.5,195000,305.6137,305.569903,301.2333
09-11-2023,19395.30078,208400,306.4035,306.5335925,300.6637
10-11-2023,19425.34961,152200,307.26655,307.8380131,301.4623
11-11-2023,19607.44389,229100,306.4786371,306.8541213,301.7904571
12-11-2023,19641.57114,234354.5455,307.4236157,307.9793801,303.1108143
13-11-2023,19443.55078,189300,308.26199,309.2548382,303.2936
14-11-2023,19719.59393,238542.4242,308.8182083,309.6431803,304.75235
15-11-2023,19675.44922,291500,309.36383,310.5795578,306.6278
16-11-2023,19765.19922,282700,310.31619,311.4577262,308.1384
17-11-2023,19731.80078,236800,311.29719,312.1953542,308.3283
18-11-2023,19812.89998,241072.7273,311.7902557,312.2829033,307.5396714
19-11-2023,19845.64849,241638.2353,313.1761057,313.3369548,308.3736286
20-11-2023,19694,173800,312.74266,313.0546996,308.0135
21-11-2023,19783.40039,195000,314.43816,314.1749662,309.278
22-11-2023,19811.84961,184500,316.11177,315.2631809,309.0981
23-11-2023,19802,170000,317.96294,316.6331989,309.1313
24-11-2023,19794.69922,145900,319.6843,318.3002875,309.2942
25-11-2023,20120.45875,254335.2941,317.9296629,317.143435,310.0776857
26-11-2023,20181.35731,258979.4118,319.6088871,318.7136015,311.2402429
27-11-2023,20248.00144,261432.3529,321.2673471,320.3743478,312.4788714
28-11-2023,19889.69922,229600,321.51184,320.3016403,311.4167
29-11-2023,20096.59961,236200,323.05597,322.2760715,314.312
30-11-2023,20133.15039,486600,324.49723,324.0458651,316.1514
01-12-2023,20267.90039,265800,326.04738,325.8001907,317.9484
02-12-2023,20407.49089,265972.7273,325.89143,325.4261502,319.0848714
03-12-2023,20475.61364,267724.2424,326.42337,326.0186128,320.1504875
04-12-2023,20686.80078,381100,327.63815,327.5450331,322.783
05-12-2023,20855.09961,421000,328.79013,328.6032627,324.9685
06-12-2023,20937.69922,359200,329.69931,329.4109877,326.0141
07-12-2023,20901.15039,275000,330.14695,330.1658516,327.6098
08-12-2023,20969.40039,292400,330.66583,330.7338631,326.3449
09-12-2023,20754.70756,277930.303,330.58601,330.5886057,326.3590625
10-12-2023,20777.13821,278929.4118,331.4990988,331.5285042,327.4678
11-12-2023,20997.09961,212900,331.52031,331.7091882,327.5696
12-12-2023,20906.40039,244900,332.47764,332.6290967,326.858
13-12-2023,20926.34961,260300,333.74976,333.9115627,328.7246
14-12-2023,21182.69922,334400,334.94286,335.0642211,331.6529
15-12-2023,21456.65039,508800,335.97047,335.8222924,333.8561
16-12-2023,20999.51471,282570.5882,334.6859343,334.5842243,331.0034714
17-12-2023,21053.49408,283217.6471,335.6630714,335.3799472,331.4207429
18-12-2023,21418.65039,249700,336.7396,336.2592241,334.3028
19-12-2023,21453.09961,249800,337.4009,336.693985,334.0603
20-12-2023,21150.15039,363900,337.651696,336.9685218,333.10166
21-12-2023,21255.05078,277500,338.36027,337.2792483,330.4905
22-12-2023,21349.40039,284700,339.78724,338.787859,332.7986
23-12-2023,21259.47857,293545.7143,339.0820917,338.4033251,333.9474667
24-12-2023,21307.54286,300014.2857,339.9885917,339.3935159,334.8268667
